site_id,cf_Status
ST-2562,ACTIVE
ST-2563,ACTIVE
ST-2565,TEMPORARILY CLOSED
ST-2566,ACTIVE
ST-2567,ACTIVE
ST-2572,ACTIVE
ST-2573,ACTIVE
ST-2575,ACTIVE
ST-2579,ACTIVE
ST-2581,ACTIVE
ST-2582,ACTIVE
ST-2590,ACTIVE
ST-2613,ACTIVE
ST-2615,ACTIVE
ST-2616,ACTIVE
ST-2617,ACTIVE
ST-2618,ACTIVE
ST-2619,ACTIVE
ST-2620,ACTIVE
ST-2623,ACTIVE
ST-2624,ACTIVE
ST-2625,ACTIVE
ST-2627,ACTIVE
ST-2628,ACTIVE
ST-2629,TEMPORARILY CLOSED
ST-2630,ACTIVE
ST-2631,ACTIVE
ST-2633,ACTIVE
ST-2634,ACTIVE
ST-2636,ACTIVE
ST-2640,ACTIVE
ST-2641,ACTIVE
ST-2645,ACTIVE
ST-2646,ACTIVE
ST-2650,ACTIVE
ST-2651,ACTIVE
ST-2653,ACTIVE
ST-2654,ACTIVE
ST-2658,ACTIVE
ST-2669,ACTIVE
ST-2673,ACTIVE
ST-2676,ACTIVE
ST-2677,ACTIVE
ST-2680,ACTIVE
ST-2681,ACTIVE
ST-2682,ACTIVE
ST-2683,ACTIVE
ST-2685,ACTIVE
ST-2687,ACTIVE
ST-2691,ACTIVE
ST-2694,ACTIVE
ST-2706,ACTIVE
ST-2707,ACTIVE
ST-2711,ACTIVE
ST-2713,ACTIVE
ST-2717,ACTIVE
ST-2722,ACTIVE
ST-2726,TEMPORARILY CLOSED
ST-2727,ACTIVE
ST-2728,ACTIVE
ST-2729,ACTIVE
ST-2731,ACTIVE
ST-2733,ACTIVE
ST-2735,ACTIVE
ST-2739,ACTIVE
ST-2740,ACTIVE
ST-2741,ACTIVE
ST-2742,ACTIVE
ST-2743,ACTIVE
ST-2744,ACTIVE
ST-2745,ACTIVE
ST-2747,ACTIVE
ST-2748,ACTIVE
ST-2749,ACTIVE
ST-2751,ACTIVE
ST-2752,ACTIVE
ST-2753,TEMPORARILY CLOSED
ST-2754,ACTIVE
ST-2755,ACTIVE
ST-2756,ACTIVE
ST-2757,ACTIVE
ST-2759,TEMPORARILY CLOSED
ST-2763,ACTIVE
ST-2764,ACTIVE
ST-2765,TEMPORARILY CLOSED
ST-2767,ACTIVE
ST-2770,ACTIVE
ST-2771,ACTIVE
ST-2772,TEMPORARILY CLOSED
ST-2774,ACTIVE
ST-2783,ACTIVE
ST-2785,ACTIVE
ST-2786,ACTIVE
ST-2787,ACTIVE
ST-2788,ACTIVE
ST-2789,ACTIVE
ST-2790,ACTIVE
ST-2791,ACTIVE
ST-2800,ACTIVE
ST-2801,ACTIVE
ST-2806,TEMPORARILY CLOSED
ST-2808,ACTIVE
ST-2810,TEMPORARILY CLOSED
ST-2811,ACTIVE
