site_id,site_name,mgmt_ip,vendor,cpe_type,region,Address,Island Group,City,Zip Code,parent_region
ST-0295,King's Plaza,10.10.36.146,MIKROTIK,RB951,Metro Manila,"King's Plaza, Juan Luna cor. Padre Rada St., Tondo, Manila",Luzon,City of Manila,1006,patch01
ST-0297,DFA,10.10.11.210,MIKROTIK,RB951,Metro Manila,"G/F AIMS Bldg., Roxas Blvd. Service Rd. cor. Arnaiz St., Pasay City",Luzon,Pasay City,1300,patch01
ST-0299,Indang 1,10.10.18.222,MIKROTIK,RB951,Cavite,"San Gregorio nr. cor. Mabini St., Indang, Cavite",Luzon,Indang,4122,patch01
ST-0301,Annapolis,10.10.9.82,MIKROTIK,RB951,Metro Manila,"G/F Continental Plaza, #45 Annapolis, Greenhills, San Juan, MM",Luzon,San Juan City,1502,patch01
ST-0303,Asian Mansion,10.10.17.146,MIKROTIK,RB951,Metro Manila,"G/F Asian Mansion 2 Dela Rosa St., Legaspi Village, Makati City",Luzon,Makati City,1229,patch01
ST-0304,Starwoods,10.10.27.114,MIKROTIK,RB951,Benguet,"Kisad Road nr. cor. Marcos Hi-way, Baguio City",Luzon,Baguio City,2600,patch01
ST-0312,US Embassy,10.10.1.194,MIKROTIK,RB951,Metro Manila,"Roxas Blvd. cor. U.N. Avenue, Ermita, Manila",Luzon,City of Manila,1000,patch01
ST-0313,Northgate,10.10.14.146,MIKROTIK,RB951,Metro Manila,F@st bytes @North Gate cyberzone Alabang Muntinlupa,Luzon,Muntinlupa City,1780,patch01
ST-0315,Banaue,10.10.7.22,MIKROTIK,RB951,Metro Manila,426 Banaue Ave. cor Tirad Pass St. SMH QC,Luzon,Quezon City,1114,patch01
ST-0316,Xavier Hills,10.10.37.250,MIKROTIK,RB951,Metro Manila,"Xavier Hills Condo. Tower 1, Granada St. cor. N. Domingo, QC",Luzon,San Juan City,1500,patch01
ST-0318,Pearl Drive,10.10.3.58,MIKROTIK,RB951,Metro Manila,"Pearl Drive corner Lourdes St., Pasig City",Luzon,Pasig City,1600,patch01
ST-0322,St. Scholastica,10.10.3.182,MIKROTIK,RB951,Metro Manila,"896 Vito Cruz cor. Dominga St., Malate, Manila",Luzon,City of Manila,1004,patch01
ST-0328,Cabanatuan 2,10.10.22.78,MIKROTIK,RB951,Nueva Ecija,"199 Gen. Tinio cor. Mabini St., Quezon District, Cabanatuan, Nueva Ecija",Luzon,Cabanatuan City,3100,patch01
ST-0330,Imperial,10.10.7.26,MIKROTIK,RB951,Metro Manila,Tomas Morato Ave. cor Timog Ave Diliman QC,Luzon,Quezon City,1101,patch01
ST-0332,Legarda 2,10.10.2.50,MIKROTIK,RB951,Metro Manila,Legarda cor. Jhocson St. Sampaloc Manila,Luzon,City of Manila,1008,patch01
ST-0333,Balibago 2,10.10.13.182,MIKROTIK,RB951,Laguna,Balibago Complex Balibago Sta. Rosa Laguna,Luzon,Sta. Rosa,4026,patch01
ST-0334,Owwa2,10.10.1.214,MIKROTIK,RB951,Metro Manila,749 Victoria St. cor. Solana St. Intramuros Manila,Luzon,City of Manila,1002,patch01
ST-0336,Faura,10.10.10.138,MIKROTIK,RB951,Metro Manila,P. Faura cor MH del Pilar,Luzon,City of Manila,1004,patch01
ST-0341,Olivarez,10.10.2.126,MIKROTIK,RB951,Metro Manila,"8156 Dr. A. Santos Ave., Brgy. San Dionisio, Sucat, Para�aque City",Luzon,Para�aque City,1700,patch01
ST-0343,Fields 2,10.10.20.202,MIKROTIK,RB951,Pampanga,"Mc Arthur Highway, Balibago, Angeles City, Pampanga",Luzon,Angeles City,2009,patch01
ST-0346,Pedro Gil,10.10.9.14,MIKROTIK,RB951,Metro Manila,1578 A. MABINI CORNER PEDRO GIL ST. ERMITA MANILA,Luzon,City of Manila,1000,patch01
ST-0347,Bulihan,10.10.15.130,MIKROTIK,RB951,Cavite,"B 275 L13 AFP Housing, Old Bulihan Rd., Bulihan, Silang Cavite",Luzon,Silang,4118,patch01
ST-0349,Teacher's Bliss,10.10.7.30,MIKROTIK,RB951,Metro Manila,"#1 Teachers Bliss,Balong bato Balintawak QC",Luzon,Quezon City,1106,patch01
ST-0352,Baclaran 4,10.10.3.166,MIKROTIK,RB951,Metro Manila,"Roxas Blvd. cor. Rivera St., Baclaran, Para�aque",Luzon,Para�aque City,1702,patch01
ST-0353,Guagua,10.10.6.66,MIKROTIK,RB951,Pampanga,"One Crown Property & Devt., Plaza Burgos, Guagua, Pampanga",Luzon,Guagua,2003,patch01
ST-0354,Gordon Avenue,10.10.9.102,MIKROTIK,RB951,Zambales,"Gordon Ave. cor. 6th St. Asinan, Olongapo City",Luzon,Olongapo City,2200,patch01
ST-0355,Vito Cruz,10.10.9.18,MIKROTIK,RB951,Metro Manila,"Unit 102&103 Cityland Tower One, Vito Cruz, Manila",Luzon,City of Manila,1000,patch01
ST-0356,Gualberto,10.10.12.254,MIKROTIK,RB951,Batangas,"Zunio St. Gualberto Ave., Rosario, Batangas",Luzon,Rosario,4225,patch01
ST-0357,Tanza 2,10.10.12.126,MIKROTIK,RB951,Cavite,"Tanza Crossing, Daang Amaya, Tanza, Cavite",Luzon,Tanza,4108,patch01
ST-0360,Cabanatuan 3,10.10.33.230,MIKROTIK,RB951,Nueva Ecija,"Manson Bldg. Burgos Ave., Cabanatuan City",Luzon,Cabanatuan City,3100,patch01
ST-0362,Tomas Mapua,10.10.17.10,MIKROTIK,RB951,Metro Manila,1512 C.M. Recto Cor. F. Torres & T. Mapua Sta. Cruz Manila,Luzon,City of Manila,1001,patch01
