site_id,mgmt_ip,sites_status,tag_location,tag_dctech
ST-1037,10.10.36.86,Active,NCR,na
ST-1041,10.10.5.194,Active,NCR,na
ST-1043,10.10.4.158,Active,NCR,na
ST-1046,172.17.3.63,Temporarily Closed,NCR,na
ST-1051,172.17.0.52,Active,NCR,na
ST-1055,172.17.13.151,Active,NCR,na
ST-1061,10.10.0.250,Active,NCR,na
ST-1068,172.17.2.43,Active,NCR,na
ST-1069,10.10.23.82,Active,NCR,na
ST-1076,10.10.1.2,Active,NCR,na
ST-1077,172.17.2.104,Active,NCR,na
ST-1080,10.10.14.254,Active,NCR,na
ST-1083,172.17.2.176,Active,NCR,na
ST-1086,172.17.1.188,Active,NCR,na
ST-1096,10.10.19.250,Active,NCR,na
ST-1097,172.17.3.65,Active,NCR,na
ST-1100,172.17.6.92,Active,NCR,na
ST-1101,172.17.1.213,Temporarily Closed,NCR,na
ST-1102,10.10.5.170,Active,NCR,na
ST-1108,10.10.34.250,Active,NCR,na
ST-1110,10.8.36.110,Active,NCR,na
ST-1112,10.10.3.78,Active,NCR,na
ST-1113,172.17.0.59,Active,NCR,na
ST-1117,10.10.31.158,Active,NCR,na
ST-1118,10.10.1.34,Active,NCR,na
ST-1122,172.17.2.210,Active,NCR,na
ST-1123,10.10.4.78,Active,NCR,na
ST-1128,10.10.8.218,Active,NCR,na
ST-1139,10.10.4.54,Active,NCR,na
ST-1142,10.10.3.2,Active,NCR,na
ST-1145,172.17.8.243,Active,NCR,na
ST-1151,10.10.15.158,Active,NCR,na
ST-1156,10.8.36.156,Active,NCR,na
ST-1158,10.10.5.50,Active,NCR,na
ST-1159,10.10.4.18,Active,NCR,na
ST-1162,10.10.4.14,Active,NCR,na
ST-1167,10.10.22.162,Active,NCR,na
ST-1168,10.10.18.102,Active,NCR,na
ST-1171,10.10.5.198,Active,NCR,na
ST-1176,172.17.3.172,Active,NCR,na
ST-1177,172.17.0.64,Active,NCR,na
ST-1180,10.10.19.66,Active,NCR,na
ST-1184,172.17.2.105,Active,NCR,na
ST-1185,10.10.3.250,Active,NCR,na
ST-1186,10.10.0.126,Active,NCR,na
ST-1193,172.17.0.67,Temporarily Closed,NCR,na
ST-1198,10.10.3.238,Active,NCR,na
ST-1199,10.8.36.199,Active,NCR,na
ST-1200,172.17.8.236,Active,NCR,na
